file_path,thumbnail,set_key,langs
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/022.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/022-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/023.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/023-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/024.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/024-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/025.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/025-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/026.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/026-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/027.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/027-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/028.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/028-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/029.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/029-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/030.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/030-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/031.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/031-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
