file_path,thumbnail,set_key,langs,width,height,hide
https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/135.jpg,https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/135-thumb.jpg,Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358,LAT;IT,2008,3000,
https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/136.jpg,https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/136-thumb.jpg,Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358,LAT;IT,2024,3000,
https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/137.jpg,https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/137-thumb.jpg,Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358,LAT;IT,2019,3000,
https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/138.jpg,https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/138-thumb.jpg,Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358,LAT;IT,1991,3000,
https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/139.jpg,https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/139-thumb.jpg,Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358,LAT;IT,1990,3000,
https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/140.jpg,https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/140-thumb.jpg,Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358,LAT;IT,1973,3000,
https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/141.jpg,https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/141-thumb.jpg,Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358,LAT;IT,1981,3000,
https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/142.jpg,https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/142-thumb.jpg,Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358,LAT;IT,1971,3000,
https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/143.jpg,https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/143-thumb.jpg,Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358,LAT;IT,2009,3000,
https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/144.jpg,https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/144-thumb.jpg,Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358,LAT;IT,2017,3000,
